,Unnamed: 0,index,題名,作者/創建者,所屬期刊,主題,識別號,叢書,學位論文,類型,摘要,內容,其他題名,相關題名,版本,出版者,建立日期,附註,得獎註,適用對象/影視分級,語文註,格式,刊期,醫學主題,政府出版品主題,合訂,課程資訊,架號,權利聲明,資源來源,永久連結,borrowable,id
20,20,20,Python for DevOps : learn ruthlessly effective automation ,"Gift, Noah, author. identifier Behrman, Kennedy, author. identifier Deza, Alfredo, author. identifier Gheorghiu, Grig, author. ",,Object-oriented programming languagesidentifier Computer software -- Developmentidentifier Python (Computer program language),ISBN : 9781492057697identifier ISBN : 149205769Xidentifier OCLC : (OCoLC)1106172827,,,,"""Much has changed in technology over the past decade. Data is hot, the cloud is ubiquitous, and many organizations need some form of automation. Throughout these transformations, Python has become one of the most popular languages in the world. This practical resource shows you how to use Python for everyday Linux systems administration tasks with today's most useful DevOps tools, including Docker, Kubernetes, and Terraform. Learning how to interact and automate with Linux is essential for millions of professionals. Python makes it much easier. With this book, you'll learn how to develop software and solve problems using containers, as well as how to monitor, instrument, load-test, and operationalize your software. Looking for effective ways to ""get stuff done"" in Python? This is your guide.""-- Provided by publisher",Python essentials for DevOps -- Automating files and the Filesystem -- Working with the command line -- Useful Linux utilities -- Package management -- Continuous integration and continuous deployment -- Monitoring and logging -- Pytest for DevOps -- Cloud computing -- Infrastructure as code -- Container technologies : Docker and Docker compose -- Container orchestration : Kubernetes -- Serverless technologies -- MLOps and machine learning engineering -- Data engineering -- DevOps war stories and interviews.,,,First edition.,"Sebastopol, CA : O'Reilly Media",2019,Includes index.,,,,"xx, 481 pages : illustrations ; 24 cm",,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990057763850206772,1,20
21,21,21,初探機器學習 : 使用Python ,"Kirk, Matthew, 著 identifier 陳仁和, 譯 ",,Python(電腦程式語言),ISBN : 9789864765829,,,,,,使用Pythonidentifier A test-driven approach,,初版,臺北市 : 碁峰資訊,2017,含索引identifier 作者號取自題名(CT)identifier 本書譯自: Thoughtful machine learning with Python : a test-driven approach,,,,"11, 202面 : 圖, 表格 ; 23公分",,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990055842100206772,1,21
22,22,22,Core Python programming ,"Chun, Wesley. ",,Python (Computer program language),LC : 2006019559identifier ISBN : 0132269937 (pbk.) :identifier ISBN : 9780132269933 (pbk.),Prentice Hall core series. identifier Prentice Hall PTR core series. ,,,,,Python programming.,,2nd ed.,"Upper Saddle River, NJ : Prentice Hall",c2007,Includes index.,,,,"xxxvii, 1077 p. : ill. ; 24 cm.",,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990005117870206772,1,22
23,23,23,Python的Unix/Linux系統管理應用 ,"Gift, Noah, 著 identifier Jones, Jeremy, 著 identifier 蔣大偉, 編譯 ",,Python (Computer program language)identifier Python (電腦程式語言),ISBN : 9789866840364,,,,,,,,初版,臺北市 : 歐萊禮,2009,含索引identifier 作者號取自譯者(CT)identifier 本書譯自: Python for Unix and Linux system administration,,,,"[16], 473面 ; 23公分.",,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990050731700206772,1,23
24,24,24,Mastering Python for data science : explore the world of data science through Python and learn how to make sense of data ,"Madhavan, Samir, author. ",,Data miningidentifier Electronic data processing -- Managementidentifier Python (Computer program language),ISBN : 1784390151identifier ISBN : 9781784390150identifier OCLC : (OCoLC)920017735,Community experience distilled identifier Community experience distilled. ,,,"""Data science is a relatively new knowledge domain which is used by various organizations to make data driven decisions. Data scientists have to wear various hats to work with data and to derive value from it. The Python programming language, beyond having conquered the scientific community in the last decade, is now an indispensable tool for the data science practitioner and a must-know tool for every aspiring data scientist. Using Python will offer you a fast, reliable, cross-platform, and mature environment for data analysis, machine learning, and algorithmic problem solving. This comprehensive guide helps you move beyond the hype and transcend the theory by providing you with a hands-on, advanced study of data science. Beginning with the essentials of Python in data science, you will learn to manage data and perform linear algebra in Python. You will move on to deriving inferences from the analysis by performing inferential statistics, and mining data to reveal hidden patterns and trends. You will use the matplot library to create high-end visualizations in Python and uncover the fundamentals of machine learning. Next, you will apply the linear regression technique and also learn to apply the logistic regression technique to your applications, before creating recommendation engines with various collaborative filtering algorithms and improving your predictions by applying the ensemble methods. Finally, you will perform K-means clustering, along with an analysis of unstructured data with different text mining techniques and leveraging the power of Python in big data analytics.""-- Provided by publisher.",Getting started with raw data -- Inferential statistics -- Finding a needle in a haystack -- Making sense of data through -- Uncovering machine learning -- Performing predictions with a linear regression -- Estimating the likelihood of events -- Generating recommendations with collaborative filtering -- Pushing boundaries with ensemble models -- Applying segmentation with k-means clustering -- Analyzing unstructured data with text mining -- Leveraging Python in the world of big data.,,,,Birmingham : Packt Publishing Limited,2015,Includes index.,,,,"xi, 269 pages : illustrations ; 24 cm.",,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990055875310206772,1,24
25,25,25,Natural language processing with Python ,"Bird, Steven. identifier Klein, Ewan. identifier Loper, Edward. ",,Natural language processing (Computer science)identifier Python (Computer program language),OCLC : (OCoLC^)005191427identifier ISBN : 0596516495 (pbk.) :identifier ISBN : 9780596516499 (pbk.),,,,"This is an introduction to natural language processing, which supports a variety of language technologies, from predictive text and email filtering to authomatic summarization and translation.",,Python,,1st ed.,"Sebastopol, CA : O'Reilly Media",c2009,"""Analyzing text with the natural lanugage toolkit""--Cover.",,,,"xx, 479 p. : ill. ; 24 cm.",,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990051914270206772,1,25
26,26,26,Python技術手冊 ,"Martelli, Alex, 著 identifier Ravenscroft, Anna, 著 identifier Holden, Steve, 1950- 著 identifier 黃銘偉, 譯 ",,電腦程式語言identifier Python(電腦程式語言),ISBN : 9789864766819,,,,,,封面題名: Python技術手冊快速參考指南,,初版,臺北市 : 碁峰資訊,2018,"含索引identifier 本書譯自: Python in a nutshell, 3rd ed.identifier 作者號取自題名(CT)",,,,"14, 839, [2]面 ; 23公分",,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990056068250206772,1,26
27,27,27,完全圖解Python程式設計 ,"沃德曼 (Vorderman, Carol), 著 identifier 黃詩涵, 譯 ",,Python(電腦程式語言),ISBN : 9789864769483,,,,,,,,初版,臺北市 : 碁峰資訊,2019,本書譯自: Computer coding Python projects for kids,,,,224面 : 彩圖 ; 24公分,,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990056679800206772,1,27
28,28,28,測試驅動開發 : 使用Python ,"Percival, Harry J. W., 著 identifier 賴屹民, 譯 ",,Python(電腦程式語言),ISBN : 9789864760244,GOTOP ; A473 ,,,,,"封面副題名: 運用Django, Selenium與JavaScriptidentifier 使用Python",,初版,臺北市 : 碁峰資訊,2016,附錄: PythonAnywhere等8種identifier 作者號取自題名(CT),,,,494面 : 圖 ; 23公分.,,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma991002697589706772,1,28
29,29,29,Python standard library ,"Lundh, Fredrik. ",,Python (Computer program language),LC : 2001273990identifier ISBN : 0596000960 (pbk.) :,,,,,,At head of title on cover : Annotated reference for Python 2.0,,1st ed.,Beijing ; Cambridge Mass. : O'Reilly,c2001,Includes index.identifier CD-ROM includes programming examples from the book and a demo of the PythonWorks IDE.,,,,"xvi, 281 p. ; 24 cm. + with one CD-ROM (F321108)",,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990001379470206772,1,29
30,30,30,Python密码学编程 ,"斯維加特 (Sweigart, Al), 著 identifier 李永倫, 譯 ",,Python (電腦程式語言)identifier 電腦程式設計,ISBN : 9787115424297,,,,,,,,第1版,北京市 : 人民郵電,2016,本書譯自: Hacking secret ciphers with Python,,,簡體字版,"324面 : 圖, 表 ; 23公分",,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990055608190206772,1,30
31,31,31,流暢的Python : 清晰、簡潔、有效的程式設計 ,"Ramalho, Luicano, 著 identifier 賴屹民, 譯 ",,Python(電腦程式語言),ISBN : 9789863479116,,,,,,清晰簡潔有效的程式設計,,初版,臺北市 : 碁峰資訊發行,2016,含索引identifier 附錄: 支援程式identifier 本書譯自: Fluent Pythonidentifier 作者號取自題名(CT),,,,758面 ; 23公分,,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990055316940206772,1,31
32,32,32,Python精粹 : 來自專家的經驗精華 ,"Beazley, David, 著 identifier 黃銘偉, 譯 identifier Beazley, David M. ",,Python(電腦程式語言),ISBN : 9786263242159,,,,,,來自專家的經驗精華,,初版,臺北市 : 碁峰資訊,2022,本書譯自: Python distilledidentifier 含索引identifier 作者號取自譯者(CT),,,,369面 : 表 ; 23公分,,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma991003584680206772,1,32
33,33,33,Python幫幫忙!用程式思維解決現實世界問題 ,"Vaughan, Lee, 著 identifier 張清徽, 譯 identifier 張康寶, 譯 ",,Python(電腦程式語言),ISBN : 9789863127000,Learning by doing identifier 從做中學系列 identifier 從做中學系列 = Learning by doing ,,,,,Python幫幫忙用程式思維解決現實世界問題identifier A hacker's guide to solving problems with code,,初版,臺北市 : 旗標,2022,111年第6批(C111306)identifier 本書譯自:  Real-world Python : a hacker's guide to solving problems with codeidentifier 作者號取自譯者張清徽(CT),,,,"1冊 : 圖, 表格 ; 23公分",,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma991003578865906772,1,33
34,34,34,Python錦囊妙計(第三版) ,"Beazley, David, 著 identifier Jones, Brian K. (Brian Kenneth), 著 identifier 黃銘偉, 譯 ",,Python(電腦程式語言),ISBN : 978-986-347-068-7 (平裝) :,,,,,,"Python cookbook, 3rd ed.","翻譯 : Python cookbook, 3rd ed ",初版,台北市 : 碁峰資訊,2014,,,,,750面 ; 23公分,,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990054992900206772,1,34
35,35,35,"Python自動化的樂趣 : 搞定重複瑣碎&單調無聊的工作 = Automate the boring stuff with Python, 2nd edition ","Sweigart, Al, 著 identifier H&C, 譯 ",,Python(電腦程式語言),ISBN : 978-986-502-597-7,Gotop ; CL0581 ,,,,,"搞定重複瑣碎&單調無聊的工作identifier Automate the boring stuff with Python, 2nd editionidentifier Practical programming for total beginners",,二版,臺北市 : 碁峰資訊,2020,"譯自: Automate the boring stuff with Python : practical programming for total beginners, 2nd editionidentifier 附錄: 1. 安裝第三方模組 ; 2. 執行程式 ; 3. 習題解答",,,,603面 : 圖 ; 23公分,,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990060413300206772,1,35
36,36,36,Python standard library (CD-ROM) ,"Lundh, Fredrik. ",,Python (Computer program language),LC : 2001273990identifier ISBN : 0596000960 (CD-ROM) :,,,,,,At head of title on cover : Annotated reference for Python 2.0,,1st ed.,Beijing ; Cambridge Mass. : O'Reilly,c2001,Includes index.identifier CD-ROM includes programming examples from the book and a demo of the PythonWorks IDE.,,,,CD-ROM + with one book (F321103),,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990001384260206772,1,36
37,37,37,"Python設計模式深入解析 : 藉由16種設計模式,成為能夠解決各式問題的Python ","Kasampalis, Sakis, 著 identifier 江良志, 譯 ",,Python(電腦程式語言),ISBN : 9789864340415,,,,,,藉由16種設計模式成為能夠解決各式問題的Python,,初版,臺北市 : 博碩文化,2015,本書譯自: Mastering python design patternsidentifier 作者號取自譯者(CT),,,,195面 : 圖 ; 23公分,,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990055182650206772,1,37
38,38,38,Automate the boring stuff with Python : practical programming for total beginners ,"Sweigart, Al, author. ",,Computer programmingidentifier Python (Computer program language),ISBN : 9781593279929identifier ISBN : 1593279922identifier OCLC : (OCoLC)1128094127,,,,"If you've ever spent hours renaming files or updating hundreds of spreadsheet cells, you know how tedious tasks like these can be. But what if you could have your computer do them for you. In this fully revised second edition of the best-selling classic Automate the Boring Stuff with Python, you'll learn how to use Python to write programs that do in minutes what would take you hours to do by hand--no prior programming experience required. You'll learn the basics Python and explore Python's rich library of modules for performing specific tasks, like scraping data off websites, reading PDF and Word documents, and automating clicking and typing tasks. Step-by-step instructions walk you through each program, and updated practice projects at the end of each chapter challenge you to improve those programs and use your newfound skills to automate similar tasks.","Python programming basics. Python basics ; Flow control ; Functions ; Lists ; Dictionaries and structuring data ; Manipulating strings -- Automating tasks. Pattern matching with regular expressions ; Input validation ; Reading and writing files ; Organizing files ; Debugging ; Web scraping ; Working with Excel spreadsheets ; Working with Google sheets ; Working with PDF and Word documents ; Working with CSV files and JSON data ; Keeping time, scheduling tasks, and launching programs ; Sending email and text messages ; Manipulating images ; Controlling the keyboard and mouse with GUI automation -- Appendix A: Installing third-party modules -- Appendix B: Running programs -- Appendix C: Answers to the practice questions",,,2nd edition.,San Francisco : No Starch Press,2020,Includes index.,,,,"xxxix, 547 pages : illustrations ; 24 cm",,Software,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990057106810206772,1,38
39,39,39,Python資料科學學習手册 ,"范德普拉斯 (Vanderplas, Jacob T.), 著 identifier 何敏煌, 譯 ",,Python(電腦程式語言)identifier 電腦程式語言,ISBN : 9789864766857,,,,,,Essential tools for working with data,,初版,臺北市 : 碁峰資訊,2017,含索引identifier 本書譯自: Python data science handbook : essential tools for working with dataidentifier 作者(Vanderplas譯為范德普拉斯,,,,"17, 556面 : 圖 ; 23公分",,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990056068240206772,1,39
40,40,40,Computer science : the Python programming language ,"Miller, Bradley N. identifier Ranum, David L. ",,Python (Computer program language),LC : 2007279651identifier ISBN : 076374316X (pbk.) :identifier ISBN : 9780763743161 (pbk.),,,,,,Python programming language,,,"Sudbury, Mass. : Jones and Bartlett",c2007,Includes index.,,,,59 p. : ill. ; 24 cm.,,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990005488990206772,1,40
41,41,41,"Python資料科學與機器學習 : 從入門到實作必備攻略 : 活用Python和Apache Spark, 深入資料探勘與機器學習核心 ","Kane, Frank, 著 identifier 陳光欣, 譯 identifier 凱恩 (Kane, Frank), 著 ",,機器學習identifier 資料探勘identifier Python(電腦程式語言),ISBN : 978-986-434-786-5,,,,,,"從入門到實作必備攻略identifier 活用Python和Apache Spark, 深入資料探勘與機器學習核心identifier Perform data mining and machine learning efficiently using Python and Spark",,初版,新北市 : 博碩文化,2021,譯自: Hands-on data science and Python machine learning : perform data mining and machine learning efficiently using Python and Sparkidentifier 著者Kane譯為凱恩(YM),,,,"19, 353面: 圖 ; 23公分",,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma991003469505406772,1,41
42,42,42,"Python : data analytics and visualization : understand, evaluate, visualize data, a course in three modules ","Vo. T. H, Phuong, author. ",,Information visualizationidentifier Python (Computer program language)identifier Quantitative research,ISBN : 9781788290098identifier ISBN : 1788290097identifier OCLC : (OCoLC)1015345931,,,,"Learn basic steps of data analysis and how to use Python and its packages - A step-by-step guide to predictive modeling including tips, tricks, and best practices - Effectively visualize a broad set of analyzed data and generate effective results Who This Book Is For This book is for Python Developers who are keen to get into data analysis and wish to visualize their analyzed data in a more efficient and insightful manner.^ What You Will Learn - Get acquainted with NumPy and use arrays and array-oriented computing in data analysis - Process and analyze data using the time-series capabilities of Pandas - Understand the statistical and mathematical concepts behind predictive analytics algorithms - Data visualization with Matplotlib - Interactive plotting with NumPy, Scipy, and MKL functions - Build financial models using Monte-Carlo simulations - Create directed graphs and multi-graphs - Advanced visualization with D3 In Detail You will start the course with an introduction to the principles of data analysis and supported libraries, along with NumPy basics for statistics and data processing. Next, you will overview the Pandas package and use its powerful features to solve data-processing problems. Moving on, you will get a brief overview of the Matplotlib API .Next, you will learn to manipulate time and data structures, and load and store data in a file or database using Python packages.^ You will learn how to apply powerful packages in Python to process raw data into pure and helpful data using examples. You will also get a brief overview of machine learning algorithms, that is, applying data analysis results to make decisions or building helpful products such as recommendations and predictions using Scikit-learn. After this, you will move on to a data analytics specialization-predictive analytics. Social media and IOT have resulted in an avalanche of data. You will get started with predictive analytics using Python. You will see how to create predictive models from data. You will get balanced information on statistical and mathematical concepts, and implement them in Python using libraries such as Pandas, scikit-learn, and NumPy. You'll learn more about the best predictive modeling algorithms such as Linear Regression, Decision Tree, and Logistic Regression. Finally, you will master best practices in predictive modeling.^ After this, you will get all the practical guidance you need to help you on the journey to effective data visualization.",,"Cover title : Python data analytics and visualization, learning path",,,"Birmingham, UK : Packt Publishing",2017,"""Learning path.""",,,,"vi, 845 pages : illustrations ; 24 cm",,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990055874730206772,1,42
43,43,43,Learning Python ,"Lutz, Mark. ",,Python (Computer program language)identifier Object-oriented programming (Computer science),ISBN : 0596513984 (pbk.) :identifier ISBN : 9780596513986 (pbk.),,,,"Describes the features of the Python 2.5 programming language, covering such topics as types and operations, statements and syntax, functions, modules, classes and OOP, and exceptions and tools.",,,,3rd ed.,Beijing : O'Reilly,c2008,,,,,"xliv, 700 p. : ill. ; 24 cm.",,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990050499700206772,1,43
44,44,44,Python資料分析(第二版) : 用Pandas、Numpy和Ipython做資料分析 ,"麥金尼 (McKinney, Wes), 著 identifier 張靜雯, 譯 ",,Python(電腦程式語言),ISBN : 9789864769254,,,,,,"用Pandas Numpy和Ipython做資料分析identifier Data wrangling with pandas, NumPy, and IPython, 2nd ed.",,初版,臺北市 : 碁峰資訊,2018,"含索引identifier 本書譯自: Python for data analysis : data wrangling with pandas, NumPy, and IPython, 2nd ed.",,,,"17, 580面 : 圖, 表 ; 23公分",,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990056237520206772,1,44
45,45,45,Python與物聯網程式開發終極實戰寶典 ,"Smart, Gary, 著 identifier 曾吉弘, 譯 ",,Python(電腦程式語言)identifier 物聯網identifier 電腦程式設計,ISBN : 9786263240643,,,,,,,,初版,臺北市 : 碁峰資訊,2022,111年第6批(C111306)identifier 附錄: 評量解答identifier 本書譯自: Practical Python programming for IoTidentifier 作者號取自題名,,,,"33, 492面 : 圖, 表格 ; 23公分",,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma991003578867506772,1,45
46,46,46,Life of Brian,"Chapman, Graham, 1941-1989. identifier Cleese, John. identifier Gilliam, Terry. identifier Idle, Eric. identifier Jones, Terry, 1942- identifier Palin, Michael. identifier Goldstone, John. identifier Milligan, Spike, 1918-2002. identifier Monty Python (Comedy troupe) identifier Handmade Films. identifier Criterion Collection (Firm) ",,"Religionidentifier Longs metrages -- Grande-Bretagneidentifier Judaea, Wilderness of -- Politics and governmentidentifier Feature filmsidentifier Comedy filmsidentifier Religious filmsidentifier Jesus Christ",OCLC : (OCoLC)000556361identifier ISBN : 1559409010 :identifier PUBNUM : CC1554D,Criterion collection (DVD videodiscs) ; 61. identifier The Criterion collection ; 61 ,,Drama.identifier Caricatures and cartoons.,"The Pythons satirize religion, capital punishment, revolutionary politics, terrorism, graffiti, science fiction, and a host of other topics through the story of Brian, a first-century Judean.",,Title on container: Monty Python's life of Brianidentifier Pythons.,,,"Irvington, NY : Criterion Collection",c1999,"Originally released as a motion picture in 1979.identifier Dolby digital surround stereo., RSDL dual-layer edition, Widescreen presentation (1.85:1 theatrical aspect ratio).identifier Special features: theatrical trailer, commentaries by members of the troupe, 5 deleted scenes, 4 radio ads, documentary film The Pythons.identifier The Pythons (1979, ca. 50 min.) / produced by Iain Johnstone; Python (Monty) Pictures Ltd.",,Rated R.,,"1 videodisc (94 min.) : sd., col. ; 4 3/4 in.",,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990005563610206772,1,46
47,47,47,Blueprints for text analysis using Python : machine learning-based solutions for common real world (NLP) applications ,"Albrecht, Jens, author. identifier Ramachandran, Sidharth, author. identifier Winkler, Christian, author. ",,Machine learningidentifier Natural language processing (Computer science)identifier Python (Computer program language),ISBN : 149207408Xidentifier ISBN : 9781492074083identifier OCLC : (OCoLC)1156041908identifier OCLC : (OCoLC)on1156041908,,,,"""Turning text into valuable information is essential for businesses looking to gain a competitive advantage. With recent improvements in natural language processing (NLP), users now have many options for solving complex challenges. But it's not always clear which NLP tools or libraries would work for a business's needs, or which techniques you should use and in what order.  This practical book provides data scientists and developers with blueprints for best practice solutions to common tasks in text analytics and natural language processing. Authors Jens Albrecht, Sidharth Ramachandran, and Christian Winkler provide real-world case studies and detailed code examples in Python to help you get started quickly.""--Amazon.com.",1. Gaining early insights from textual data -- 2. Extracting textual insights with APIs -- 3. Scraping websites and extracting data -- 4. Preparing textual data for statistics and machine learning -- 5. Feature engineering and syntactic similarity -- 6. Text classification algorithms -- 7. How to explain a text classifier -- 8. Unsupervised methods : topic modeling and clustering -- 9. Text summarization -- 10. Exploring semantic relationships with word embeddings -- 11. Performing sentiment analysis on text data -- 12. Building a knowledge graph -- 13. Using text analytics in production.,Blueprints for text analytics using Python,,First edition.,"Sebastopol, CA : O'Reilly Media, Inc.",2020,,,,,"xx, 401 pages : illustrations ; 24 cm",,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma991003488502306772,1,47
48,48,48,Python核心编程 (第3版) ,"Chun, Wesley, 著 identifier 孫波翔, 譯 identifier 李斌, 譯 identifier 李晗, 譯 ",,Python(電腦程式語言),ISBN : 978-7-115-41477-9,,,,,,Python核心編程,"翻譯 : Core Python Applications Programming, 3rd. editon ",第1版,北京 : 人民邮电出版社,2016,作者號取自譯者,,,,635面 : 圖 ; 公分,,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990055386110206772,1,48
49,49,49,"Expert Python programming : learn best practices to designing,coding, and distributing your Python software ","Ziadé, Tarek. ",,Python (Computer program language),OCLC : (OCoLC^)005251201identifier ISBN : 184719494X (pbk.) :identifier ISBN : 9781847194947 (pbk.)identifier OCLC : (OCoLC)261122702,From technologies to solutions identifier From technologies to solutions. ,,,,Getting started -- Syntax best practices : below the class level -- Syntax best practices : above the class level -- Choosing good names -- Writing a package -- Writing an application -- Working with zc.buildout -- Managing code -- Managing life cycle -- Documenting your project -- Test-driven development -- Optimization : general principles and profiling techniques -- Optimization : solutions -- Useful design patterns.,"Expert Python programming : best practices to designing, coding, and distributing your Python softwareidentifier Best practices to designing, coding, and distributing your Python softwareidentifier Learn best practices to designing, coding, and distributing your Python software",,,"Birmingham, UK : Packt Pub.","2008, c2009",Includes index.,,,,"viii, 352 p. : ill. ; 24 cm.",,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990052512010206772,1,49
50,50,0,工業工程與管理 ,工業工程教學研討會 ,,工業工程 -- 管理,ISBN : (精裝),,,,,,,,修訂第二版,臺中市 : 滄海,1998[民87],,,,,700面 : 圖 ; 24公分.,,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990009748840206772,1,50
51,51,1,中國工業工程學會年會論文集 ,"中國工業工程學會, 主編 ",,,ISBN : (平裝新台幣100元),,,,,,,,初版,台北市 : 中國工業工程,民86,,,,,519面.,,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990008258410206772,1,51
52,52,2,工業工程專業英語,王愛虎 ,,工業工程 -- 英語,ISBN : 7564002506,,,,本書介紹了工業工程的知識體系，並介紹基礎工業工程和現代工業工程的理論與方法，以及各領域的最新發展動態。,,,,,北京 北京理工大學出版社,2004,需要下載並安裝APABI Reader軟件閱讀電子圖書,,,,,,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990050106390206772,1,52
53,53,3,工業工程實用技術,"陳, 可嘉, 編著 ",,工業工程identifier 工業技術,ISBN : 9787301304051,,,,"本書全面介紹了工業工程實用技術, 著重從工業工程的基本方法與技術體系展開, 選取工業工程中經典的工作研究技術(包括方法研究、作業測定)、學習曲線、標準作業和現場管理等幾項涉及企業生產實際問題的常用技術進行重點討論, 並結合實例鞏固加深讀者對工業工程相關技術應用的實操能力.全書共包括緒論、工作研究技術、學習曲線、標準作業、現場管理5個部分.",,,,1版,北京 : 北京大學出版社,2019,北大方正電子書identifier 借閱需要下載並安裝APABIReader閱讀電子圖書identifier 21世紀經濟與管理精編教材.管理科學與工程系列,,,,線上資源(1冊),,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma991003613727506772,1,53
54,54,4,工業工程,胡宗武 著 ,,,ISBN : 7-313-03048-7,,,,,,,,初版,北京 上海交通大學出版社,2002,採電子書閱讀器(Smart Reader)或線上閱讀(Online Reader ),,,,,,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990052532890206772,1,54
55,55,5,工業工程,王東華 著 ,,,ISBN : 978-7-81082-641-9,,,,,,,,初版,北京 北京交通大學出版社,2007,採電子書閱讀器(Smart Reader)或線上閱讀(Online Reader ),,,,,,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990052532900206772,1,55
56,56,6,工业工程,,,,,,,,,,,,,,,,,,,,,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma991003420012906772,1,56
57,57,7,工业工程,,,,,,,,,,,,,,,,,,,,,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma991003416349806772,1,57
58,58,8,工業工程與管理 ,"葉忠, 等著 ",,工業工程 -- 管理,ISBN : 9861542531 (平裝),,,,,,,,初版,台北市 : 台灣培生教育,2006[民95],,,,,495面.,,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990010023760206772,1,58
59,59,9,工業工程與管理 ,"林清河, 著 ",,工業工程 -- 管理,ISBN : 957609657x (平裝)identifier ISBN : 9789576096570 (平裝),,,,,,,,二版,台北市 : 華泰,民95,含索引附錄,,,,669面.,,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990010133820206772,1,59
